name	security	runnable	has_subcommands
reset all	SEC_ADMINISTRATOR	1	0
spec	SEC_PLAYER	0	1
spec save	SEC_PLAYER	1	0
spec show	SEC_GAMEMASTER	1	0
spec load	SEC_PLAYER	1	0
spec bars	SEC_GAMEMASTER	1	0
spec init	SEC_PLAYER	1	0
spec respec	SEC_PLAYER	1	0
testbars	SEC_GAMEMASTER	1	0
server	SEC_PLAYER	0	1
server corpses	SEC_ADMINISTRATOR	1	0
server exit	SEC_CONSOLE	1	0
server idlerestart	SEC_ADMINISTRATOR	0	1
server idlerestart cancel	SEC_ADMINISTRATOR	1	0
server idlerestart	SEC_ADMINISTRATOR	1	0
server idleshutdown	SEC_ADMINISTRATOR	0	1
server idleshutdown cancel	SEC_ADMINISTRATOR	1	0
server idleshutdown	SEC_ADMINISTRATOR	1	0
server info	SEC_PLAYER	1	0
server log	SEC_CONSOLE	0	1
server log filter	SEC_CONSOLE	1	0
server log level	SEC_CONSOLE	1	0
server motd	SEC_PLAYER	1	0
server plimit	SEC_ADMINISTRATOR	1	0
server resetallraids	SEC_ADMINISTRATOR	1	0
server restart	SEC_ADMINISTRATOR	0	1
server restart cancel	SEC_ADMINISTRATOR	1	0
server restart	SEC_ADMINISTRATOR	1	0
server shutdown	SEC_ADMINISTRATOR	0	1
server shutdown cancel	SEC_ADMINISTRATOR	1	0
server shutdown	SEC_ADMINISTRATOR	1	0
server set	SEC_ADMINISTRATOR	0	1
server set motd	SEC_ADMINISTRATOR	1	0
tele	SEC_TICKETMASTER	0	1
tele add	SEC_DEVELOPER	1	0
tele del	SEC_DEVELOPER	1	0
tele name	SEC_TICKETMASTER	1	0
tele group	SEC_TICKETMASTER	1	0
tele	SEC_TICKETMASTER	1	0
trigger	SEC_TICKETMASTER	0	1
trigger active	SEC_TICKETMASTER	1	0
trigger near	SEC_TICKETMASTER	1	0
trigger	SEC_TICKETMASTER	1	0
wp	SEC_TICKETMASTER	0	1
wp show	SEC_TICKETMASTER	1	0
wp add	SEC_DEVELOPER	1	0
wp modify	SEC_DEVELOPER	1	0
wp export	SEC_ADMINISTRATOR	1	0
service	SEC_ADMINISTRATOR	0	1
service del_characters	SEC_ADMINISTRATOR	1	0
